"citizen_dr" "merch_dr" "peasants_dr"
"и" 1.93167357326981 2.74124395260581 3.05717395479864
"не" 2.07524390641825 2.68837451838118 2.80107561303541
"что" 1.71631807354717 2.34870650945856 2.02317689992957
"то" 2.17965869416256 1.86491497436195 2.06799410973814
"я" 1.7261069598982 2.03293838176077 1.50457775785902
"а" 1.55643292981368 1.68747646223819 1.40533965042576
"в" 1.67389956602604 1.46658362061473 1.4085408796978
"ты" 1.17466636212354 1.56218314551406 1.26128433318394
"с" 1.08330342284726 1.36446594629045 1.12043024521416
"на" 1.1616145136555 1.22541209189142 1.41494333824188
"да" 0.998466407805005 1.31666618384078 1.16524745502273
"так" 0.717851665742161 0.961064920768273 0.883539279083168
"как" 0.939733089698829 0.913265158318607 0.720276586209104
"это" 0.91362939276275 0.825632260494221 0.476983161534029
"за" 0.662381309752994 0.787247602769489 0.598629873871567
"меня" 0.557966522008679 0.698890466120108 0.694666752032781
"мне" 0.456814696381375 0.723514586169935 0.675459376400538
"у" 0.721114627859171 0.681508734320229 0.512196683526474
"вот" 0.447025810030346 0.717720675569976 0.473781932261989
"все" 0.770059059614318 0.602566702395782 0.576221268967283
"уж" 0.453551734264365 0.577942582345954 0.377745054100775
"он" 0.619962802231866 0.516382282221385 0.441769639541584
"же" 0.443762847913336 0.534488252846259 0.521800371342596
"ну" 0.355662870754071 0.554042701121122 0.496190537166272
"вы" 0.433973961562306 0.57287291057099 0.329726615020168
"к" 0.54817763565765 0.460615892696776 0.55061143479096
"по" 0.55144059777466 0.430922100871984 0.422562263909341
"бы" 0.499233203902503 0.378776905472349 0.518599142070555
"нет" 0.398081378275198 0.427300906747009 0.374543824828734
"его" 0.528599862955591 0.36863756192242 0.496190537166272
"тебя" 0.349136946520051 0.440337205596918 0.310519239387925
"тебе" 0.274088817828825 0.419334279672065 0.473781932261989
"ли" 0.323033249583972 0.31576812769779 0.537806517702798
"ж" 0.270825855711815 0.399055592572207 0.115244253793457
"теперь" 0.172936992201521 0.337495292447638 0.406556117549139
"только" 0.277351779945835 0.300559112372896 0.422562263909341
"ее" 0.133781446797403 0.257829021698195 0.528202829886676
"она" 0.221881423956668 0.257829021698195 0.422562263909341
"от" 0.199040689137599 0.271589559373099 0.380946283372815
"мы" 0.433973961562306 0.244792722848286 0.252897112491197
"ведь" 0.228407348190688 0.30852573944784 0.163262692874064
"еще" 0.140307371031422 0.291144007647962 0.320122927204046
"из" 0.215355499722648 0.244792722848286 0.316921697932006
"вас" 0.17946291643554 0.275210753498074 0.169665151418145
"говорит" 0.613436877997846 0.152090153248935 0.265702029579358
"матрена" 0.492707279668483 0.10863582374924 0.566617581151162
"вам" 0.238196234541717 0.249138155798256 0.131250400153659
"дело" 0.264299931477796 0.223789796923433 0.166463922146104
"явление" 0.228407348190688 0.229583707523393 0.169665151418145
"кто" 0.234933272424707 0.215823169848489 0.124847941609578
"ничего" 0.257774007243776 0.181783945073727 0.243293424675075
"есть" 0.199040689137599 0.204959587473565 0.182470068506306
"нас" 0.277351779945835 0.193371766273646 0.144055317241821
"тут" 0.114203674095344 0.181059706248733 0.355336449196491
"будет" 0.225144386073678 0.186853616848692 0.198476214866509
"ни" 0.0783110908082357 0.192647527448651 0.310519239387925
"ему" 0.208829575488629 0.183956661548712 0.185671297778347
"быть" 0.120729598329363 0.198441438048611 0.134451629425699
"было" 0.195777727020589 0.160781019148875 0.211281131954671
"может" 0.215355499722648 0.142675048524001 0.268903258851399
"иван" 0.352399908637061 0.0550421506996147 0.41615980536526
"надо" 0.127255522563383 0.156435586198905 0.188872527050387
"там" 0.163148105850491 0.164402213273849 0.115244253793457
"коли" 0.195777727020589 0.125293316724123 0.236890966130994
"где" 0.133781446797403 0.170920362698804 0.0768295025289711
"человек" 0.195777727020589 0.122396361424143 0.230488507586913
"чего" 0.0946259013932848 0.165850690923839 0.131250400153659
"знаю" 0.104414787744314 0.144847764998986 0.188872527050387
"уходит" 0.117466636212354 0.159332541498885 0.0768295025289711
"для" 0.0978888635102946 0.161505257973869 0.0832319610730521
"себя" 0.0750481286912259 0.133259943799067 0.230488507586913
"до" 0.107677749861324 0.135432660274052 0.124847941609578
"чем" 0.0815740529252455 0.140502332049016 0.121646712337538
"нам" 0.172936992201521 0.127466033199108 0.0864331903450925
"те" 0.146833295265442 0.105014629624265 0.211281131954671
"чтобы" 0.143570333148432 0.118775167299169 0.153659005057942
"без" 0.150096257382452 0.120947883774153 0.134451629425699
"чтоб" 0.035892583287108 0.162229496798864 0.0576221268967283
"григорьич" 0.54491467354064 0.0572148671745995 0.00960368781612139
"сейчас" 0.18598884066956 0.120947883774153 0.0800307318010116
"этого" 0.18272587855255 0.117326689649179 0.0928356488891734
"него" 0.0783110908082357 0.126017555549118 0.153659005057942
"подхалюзин" 0 0.178162750948753 0
"когда" 0.104414787744314 0.141950809699006 0.0544208976246879
"мой" 0.166411067967501 0.110808540224224 0.131250400153659
"ах" 0.0815740529252455 0.139778093224022 0.0832319610730521
"князев" 0 0.174541556823778 0
"значит" 0.225144386073678 0.0738723601494829 0.220884819770792
"какой" 0.114203674095344 0.118775167299169 0.118445483065497
"бог" 0.18598884066956 0.10863582374924 0.0864331903450925
"тоже" 0.0848370150422554 0.0673542107245285 0.364940137012613
"сам" 0.101151825627304 0.110084301399229 0.156860234329983
"они" 0.159885143733481 0.115878211999189 0.0704270439848902
"со" 0.107677749861324 0.115878211999189 0.121646712337538
"говорю" 0.212092537605638 0.0970480025493207 0.0800307318010116
"нибудь" 0.0195777727020589 0.136156899099047 0.0960368781612139
"лучше" 0.0946259013932848 0.124569077899128 0.0608233561687688
"краснова" 0 0.157884063848895 0
"здесь" 0.0619962802231866 0.136881137924042 0.0288110634483642
"их" 0.0946259013932848 0.114429734349199 0.089634419617133
"ей" 0.153359219499462 0.0927025695993511 0.124847941609578
"про" 0.091362939276275 0.10284191314928 0.13765285869774
"тобой" 0.0978888635102946 0.112257017874214 0.0864331903450925
"хоть" 0.055470355989167 0.118775167299169 0.0928356488891734
"очень" 0.0750481286912259 0.119499406124164 0.0544208976246879
"курослепов" 0 0.147744720298966 0
"миловидов" 0 0.147744720298966 0
